user_id,item_id
3271027,145812999
3271027,389165078
39614831,149640042
52962272,76807043
35697872,17619764
35697872,397872824
101648866,197387691
101648866,96847858
101982646,195046508
101982646,251176595
101982646,247126991
102889078,58974991
104480881,127514308
106166372,52755798
61997015,147339841
108934622,212140733
108934622,318432392
40387240,351069490
115132373,238622578
115132373,37415963
115132373,206841406
115132373,22447629
115132373,42408242
115132373,392003850
115132373,339798897
34841326,318510293
117079598,67679330
117144062,129854670
119933988,128680136
33187387,237462976
33187387,223053282
42873856,349028221
42873856,349028221
42873856,79384419
42873856,79384419
117631619,250720385
123327614,16727638
124675478,145301432
124675478,175539782
124675478,105337403
124675478,203541901
124675478,374557660
124675478,315829632
124675478,230583402
133833968,337914580
133833968,137454687
133833968,299989384
133833968,64295962
25428250,95335470
25428250,100539818
25428250,97852612
25428250,383453752
125690411,30964096
125717270,251765139
125717270,214182246
125717270,338106149
128167605,56320584
128167605,56320584
129000003,163500218
130247942,212693141
130247942,212693141
130247942,87642984
130791359,224416443
131632535,228260855
131632535,73016400
13165215,280602982
131893277,314932111
136286592,205050604
138589540,128429914
141020627,28018442
141020627,84853429
122040080,6847603
122040080,178059862
142242063,153629955
142242063,153629955
16118323,382687560
18382879,342070665
18382879,342070665
19339901,74990034
20752626,52597719
20752626,52597719
20752626,285224071
20752626,348474731
21079914,358254160
21326166,234547151
21350424,331964808
22287042,49908457
22287042,346940979
22287042,174227754
22287042,25797682
22287042,346284798
22287042,121376628
22287042,401891968
22914031,137389963
22914031,130759304
22914031,113890860
22914031,124904762
22914031,301299112
23212021,308997552
23797585,184834342
24050440,61133813
24050440,207531581
24050440,44133838
24050440,68214233
12455196,28453332
12455196,307055063
12455196,84882883
25417216,103497646
25417216,58692292
27548129,404074975
31203388,201343535
3121585,153768088
33253837,17782989
33253837,74662588
33253837,49149900
34709977,267061446
50102935,243589938
35188099,237994329
41779519,340602496
42288637,377105156
44359823,252590894
44359823,318549871
45244571,335808217
45244571,159793021
45244571,218847293
47131466,90884810
50070856,347428687
50070856,365828270
50070856,247157812
50070856,155133017
50070856,111392969
50070856,252218827
50070856,150510169
50070856,318009834
50070856,159557788
50070856,110851932
50070856,191696916
50070856,132525847
50070856,260986964
50070856,177108575
50498755,185523568
50498755,151221120
5369231,230728533
5369231,75245446
5369231,238011741
5369231,320668411
54004679,304530
54004679,315902183
54004679,93696535
54004679,219065765
57977424,234043314
58443498,212088391
64036277,164033877
64036277,222741169
64036277,373505939
64844994,151541287
64151780,137377762
64151780,265122669
65106276,164956918
65106276,3612224
104062273,13060261
104062273,182862114
104062273,53968941
104062273,287323815
104874775,251766438
111348988,293058394
111463864,227468271
111463864,64534186
111463864,205640830
111463864,82967054
111463864,379900816
111463864,156401907
11436462,377135593
115594814,26701705
115594814,40190761
115594814,248031234
115594814,198274022
11522967,311652938
11522967,271293738
121454675,360894882
121454675,49981867
121454675,202463966
50780812,207747470
50780812,330291146
125923293,23813806
125923293,269417806
125923293,385138514
125923293,385138514
125923293,123690634
125923293,123690634
125923293,203279951
125923293,310342546
125923293,70453531
125923293,346436342
125923293,116372452
125923293,50809292
128535231,238621574
130346108,212337162
130346108,315918782
131019638,321886986
131019638,155588139
133724891,391598647
135643032,264264330
137758701,276933780
137758701,296755745
137758701,59392738
64860450,45881250
140441069,162411984
140441069,217294484
140441069,282418151
140441069,308249183
140441069,36896550
140441069,354195959
140441069,51790055
141413162,45053498
14933785,397563274
18366415,372432506
18366415,136409384
18366415,136409384
18366415,69636352
18366415,69636352
18366415,223663854
18366415,223663854
18366415,149800050
18366415,94688125
18366415,94688125
18366415,111891253
18366415,222630190
18366415,222630190
18366415,32437499
18366415,32437499
18366415,113921908
18366415,158016913
18366415,152495784
18366415,152495784
20338008,196492889
21845448,295797848
22276293,127210868
22276293,127210868
22276293,374037353
22276293,374037353
22276293,248430193
22276293,402061235
22276293,202340545
22276293,202340545
22276293,285431927
226017,4134969
226017,118625445
22711728,374413445
22805449,82201230
23667931,276314797
24211879,70486887
24211879,342879173
24211879,68008255
24211879,111098416
25108597,180986769
25630648,97044310
25630648,46430386
29520569,228400493
35483999,197136600
37771280,361179935
3887824,27520897
3887824,206685824
3887824,266677364
39460703,30563045
46655888,337393179
47498990,88870400
52793780,236831559
53077739,211802280
53077739,221711887
56316552,117819080
57357240,283949664
57943818,114713061
57943818,276669491
59430354,287731222
57817641,99777444
57817641,101432947
105851078,193959912
10587282,146348332
109146659,364203595
109146659,348739796
109326356,18068814
109397288,197132749
110713489,252000042
111149530,361662816
111149530,102225890
112272961,351431611
11229381,367644394
112839964,152507995
112896793,306970355
115191881,88647733
115191881,207839776
115191881,180493188
115191881,85032845
11583387,346429387
11583387,331360754
11583387,331360754
11583387,124432
1164136,209309010
116823443,103816395
116823443,385976243
116823443,229257963
116823443,132377303
117956313,96675565
11962560,321005458
11962560,338262051
120013993,370307094
120013993,354301164
120636580,199077596
120636580,399591262
120636580,217108111
