user_id,item_id
104033521,302613276
104033521,126758786
106117718,104247659
106206683,217514104
121576268,299989854
12473103,258181460
12473103,248284997
126672576,124359784
126672576,296429329
126672576,311430271
126672576,31235290
126672576,193749949
127004754,313503366
127004754,324748235
128167605,56320584
12853122,377277166
129000003,1364961
129237285,138139299
130247942,212693141
132159746,205316937
132236660,388700952
137367705,356174988
141159125,288018748
142242063,31525916
142242063,32882162
142242063,153629955
142242063,31525916
17380846,104515171
18382879,287174582
18382879,342070665
20752626,352240757
20752626,192369135
20752626,52597719
20752626,31361697
22177044,291109978
22288686,21162252
29793950,191803134
33020032,211917361
37570892,316210929
39614831,89219475
42873856,376215138
42873856,376215138
42873856,376215138
42873856,79384419
42873856,376215138
42873856,349028221
42873856,376215138
42873856,376215138
42873856,376215138
47059634,216038320
47059634,154327194
52058093,169677078
61504511,60951279
61504511,243584789
61504511,243584789
61504511,281426651
61504511,281426651
61504511,281426651
103983985,363259131
104248411,291259087
104248411,191065007
104473438,346263750
110948224,355719950
112492102,128499874
113491196,11257620
115034996,2432119
115594814,283359594
118774089,114752049
124404281,347039126
125923293,385138514
125923293,123690634
127019322,372330366
127019322,239300140
127019322,259730500
127823445,259119558
132972908,283937563
132972908,48307137
135643032,101140330
135643032,130674231
136058991,81176723
136058991,165035985
14307216,219624723
15269542,132119078
18366415,136409384
18366415,69636352
18366415,222630190
18366415,223663854
18366415,94688125
18366415,32437499
18366415,152495784
22276293,127210868
22276293,202340545
22276293,54163531
22276293,374037353
26998903,224655823
29017898,48414907
34855657,229535659
35483999,180262300
37625771,159486502
39361112,287860262
46596197,171285549
5101526,400789027
55162751,185469274
55778123,132204090
55778123,133639613
55974854,265731565
55974854,265731565
56316552,378683699
63509042,55431527
65010480,351690830
105130391,274621847
109073663,168994653
109073663,361601634
110269699,351690830
11229381,231006925
11583387,194204464
11583387,331360754
1164136,387920129
116577239,57054302
121967036,277629660
122040080,120916584
124061987,2440811
126584133,77163048
126718359,43645692
126718359,318561775
132976955,110914046
134116374,215763214
134116374,84302385
134599962,291728667
142014633,143149727
17568352,244495690
20231406,134610697
20231406,55779338
20231406,183163359
20231406,237100541
21737559,359953229
24360304,880458
24360304,126632253
28740641,217779317
29397278,264361339
36081968,342575514
36193619,32121249
37210502,94591443
39092792,246497703
39092792,80135499
40163881,197024074
41106748,168459504
4121429,377988376
42082216,53243944
4860935,101081429
50102935,231461066
57817641,70852496
58874964,186161118
60783275,342353139
62677190,351690830
62844941,47909770
64388982,252382101
64388982,264879561
64388982,193588863
64848129,327885992
